match_id,season,matchday,date,status,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,referee
444255,2023,1,2023-08-19,FINISHED,Empoli FC,Empoli,EMP,Hellas Verona FC,Verona,HVE,0,1,0,0,AWAY_TEAM,Luca Massimi
444256,2023,1,2023-08-19,FINISHED,Frosinone Calcio,Frosinone,FRO,SSC Napoli,Napoli,NAP,1,3,1,2,AWAY_TEAM,Matteo Marcenaro
444257,2023,1,2023-08-19,FINISHED,Genoa CFC,Genoa,GEN,ACF Fiorentina,Fiorentina,FIO,1,4,0,3,AWAY_TEAM,Giovanni Ayroldi
444258,2023,1,2023-08-19,FINISHED,FC Internazionale Milano,Inter,INT,AC Monza,Monza,MON,2,0,1,0,HOME_TEAM,Andrea Colombo
444260,2023,1,2023-08-20,FINISHED,AS Roma,Roma,ROM,US Salernitana 1919,Salernitana,SAL,2,2,1,1,DRAW,Ermanno Feliciani
444261,2023,1,2023-08-20,FINISHED,US Sassuolo Calcio,Sassuolo,SAS,Atalanta BC,Atalanta,ATA,0,2,0,0,AWAY_TEAM,Matteo Marchetti
444259,2023,1,2023-08-20,FINISHED,US Lecce,Lecce,USL,SS Lazio,Lazio,LAZ,2,1,0,1,HOME_TEAM,Federico Dionisi
444263,2023,1,2023-08-20,FINISHED,Udinese Calcio,Udinese,UDI,Juventus FC,Juventus,JUV,0,3,0,3,AWAY_TEAM,Antonio Rapuano
444262,2023,1,2023-08-21,FINISHED,Torino FC,Torino,TOR,Cagliari Calcio,Cagliari,CAG,0,0,0,0,DRAW,Francesco Cosso
444254,2023,1,2023-08-21,FINISHED,Bologna FC 1909,Bologna,BOL,AC Milan,Milan,MIL,0,2,0,2,AWAY_TEAM,Luca Pairetto
444266,2023,2,2023-08-26,FINISHED,Frosinone Calcio,Frosinone,FRO,Atalanta BC,Atalanta,ATA,2,1,2,0,HOME_TEAM,Juan Luca Sacchi
444271,2023,2,2023-08-26,FINISHED,AC Monza,Monza,MON,Empoli FC,Empoli,EMP,2,0,1,0,HOME_TEAM,Gianluca Aureliano
444267,2023,2,2023-08-26,FINISHED,Hellas Verona FC,Verona,HVE,AS Roma,Roma,ROM,2,1,2,0,HOME_TEAM,Daniele Doveri
444270,2023,2,2023-08-26,FINISHED,AC Milan,Milan,MIL,Torino FC,Torino,TOR,4,1,3,1,HOME_TEAM,Maurizio Mariani
444265,2023,2,2023-08-27,FINISHED,ACF Fiorentina,Fiorentina,FIO,US Lecce,Lecce,USL,2,2,2,0,DRAW,Maria Caputi
444268,2023,2,2023-08-27,FINISHED,Juventus FC,Juventus,JUV,Bologna FC 1909,Bologna,BOL,1,1,0,1,DRAW,Marco Di Bello
444269,2023,2,2023-08-27,FINISHED,SS Lazio,Lazio,LAZ,Genoa CFC,Genoa,GEN,0,1,0,1,AWAY_TEAM,Livio Marinelli
444272,2023,2,2023-08-27,FINISHED,SSC Napoli,Napoli,NAP,US Sassuolo Calcio,Sassuolo,SAS,2,0,1,0,HOME_TEAM,Antonio Giua
444273,2023,2,2023-08-28,FINISHED,US Salernitana 1919,Salernitana,SAL,Udinese Calcio,Udinese,UDI,1,1,0,0,DRAW,Davide Massa
444264,2023,2,2023-08-28,FINISHED,Cagliari Calcio,Cagliari,CAG,FC Internazionale Milano,Inter,INT,0,2,0,2,AWAY_TEAM,Michael Fabbri
444281,2023,3,2023-09-01,FINISHED,US Sassuolo Calcio,Sassuolo,SAS,Hellas Verona FC,Verona,HVE,3,1,1,0,HOME_TEAM,Marco Piccinini
444280,2023,3,2023-09-01,FINISHED,AS Roma,Roma,ROM,AC Milan,Milan,MIL,1,2,0,1,AWAY_TEAM,Antonio Rapuano
444275,2023,3,2023-09-02,FINISHED,Bologna FC 1909,Bologna,BOL,Cagliari Calcio,Cagliari,CAG,2,1,0,1,HOME_TEAM,Daniele Orsato
444283,2023,3,2023-09-02,FINISHED,Udinese Calcio,Udinese,UDI,Frosinone Calcio,Frosinone,FRO,0,0,0,0,DRAW,Marco Guida
444274,2023,3,2023-09-02,FINISHED,Atalanta BC,Atalanta,ATA,AC Monza,Monza,MON,3,0,2,0,HOME_TEAM,Matteo Marcenaro
444279,2023,3,2023-09-02,FINISHED,SSC Napoli,Napoli,NAP,SS Lazio,Lazio,LAZ,1,2,1,1,AWAY_TEAM,Andrea Colombo
444277,2023,3,2023-09-03,FINISHED,FC Internazionale Milano,Inter,INT,ACF Fiorentina,Fiorentina,FIO,4,0,1,0,HOME_TEAM,Matteo Marchetti
444282,2023,3,2023-09-03,FINISHED,Torino FC,Torino,TOR,Genoa CFC,Genoa,GEN,1,0,0,0,HOME_TEAM,Daniele Chiffi
444276,2023,3,2023-09-03,FINISHED,Empoli FC,Empoli,EMP,Juventus FC,Juventus,JUV,0,2,0,1,AWAY_TEAM,Giovanni Ayroldi
444278,2023,3,2023-09-03,FINISHED,US Lecce,Lecce,USL,US Salernitana 1919,Salernitana,SAL,2,0,1,0,HOME_TEAM,Luca Massimi
444290,2023,4,2023-09-16,FINISHED,Juventus FC,Juventus,JUV,SS Lazio,Lazio,LAZ,3,1,2,0,HOME_TEAM,Fabio Maresca
444289,2023,4,2023-09-16,FINISHED,FC Internazionale Milano,Inter,INT,AC Milan,Milan,MIL,5,1,2,0,HOME_TEAM,Simone Sozza
444287,2023,4,2023-09-16,FINISHED,Genoa CFC,Genoa,GEN,SSC Napoli,Napoli,NAP,2,2,1,0,DRAW,Michael Fabbri
444284,2023,4,2023-09-17,FINISHED,Cagliari Calcio,Cagliari,CAG,Udinese Calcio,Udinese,UDI,0,0,0,0,DRAW,Daniele Doveri
444286,2023,4,2023-09-17,FINISHED,Frosinone Calcio,Frosinone,FRO,US Sassuolo Calcio,Sassuolo,SAS,4,2,1,2,HOME_TEAM,Alessandro Prontera
444291,2023,4,2023-09-17,FINISHED,AC Monza,Monza,MON,US Lecce,Lecce,USL,1,1,1,1,DRAW,Livio Marinelli
444285,2023,4,2023-09-17,FINISHED,ACF Fiorentina,Fiorentina,FIO,Atalanta BC,Atalanta,ATA,3,2,2,1,HOME_TEAM,Luca Pairetto
444292,2023,4,2023-09-17,FINISHED,AS Roma,Roma,ROM,Empoli FC,Empoli,EMP,7,0,3,0,HOME_TEAM,Juan Luca Sacchi
444293,2023,4,2023-09-18,FINISHED,US Salernitana 1919,Salernitana,SAL,Torino FC,Torino,TOR,0,3,0,2,AWAY_TEAM,Antonio Giua
444288,2023,4,2023-09-18,FINISHED,Hellas Verona FC,Verona,HVE,Bologna FC 1909,Bologna,BOL,0,0,0,0,DRAW,Federico La Penna
444300,2023,5,2023-09-22,FINISHED,US Salernitana 1919,Salernitana,SAL,Frosinone Calcio,Frosinone,FRO,1,1,0,1,DRAW,Marco Piccinini
444298,2023,5,2023-09-22,FINISHED,US Lecce,Lecce,USL,Genoa CFC,Genoa,GEN,1,0,0,0,HOME_TEAM,Antonio Rapuano
444299,2023,5,2023-09-23,FINISHED,AC Milan,Milan,MIL,Hellas Verona FC,Verona,HVE,1,0,1,0,HOME_TEAM,Matteo Marchetti
444301,2023,5,2023-09-23,FINISHED,US Sassuolo Calcio,Sassuolo,SAS,Juventus FC,Juventus,JUV,4,2,2,1,HOME_TEAM,Andrea Colombo
444297,2023,5,2023-09-23,FINISHED,SS Lazio,Lazio,LAZ,AC Monza,Monza,MON,1,1,1,1,DRAW,Rosario Abisso
444296,2023,5,2023-09-24,FINISHED,Empoli FC,Empoli,EMP,FC Internazionale Milano,Inter,INT,0,1,0,0,AWAY_TEAM,Matteo Marcenaro
